benchmark,file_id,speaker_id,label,generator,split,is_unseen_generator
mlaad,mlaad_real_mlaad_spk_01_00,mlaad_spk_01,real,human,train,False
mlaad,mlaad_real_mlaad_spk_01_01,mlaad_spk_01,real,human,train,False
mlaad,mlaad_real_mlaad_spk_01_02,mlaad_spk_01,real,human,train,False
mlaad,mlaad_real_mlaad_spk_01_03,mlaad_spk_01,real,human,train,False
mlaad,mlaad_real_mlaad_spk_02_00,mlaad_spk_02,real,human,train,False
mlaad,mlaad_real_mlaad_spk_02_01,mlaad_spk_02,real,human,train,False
mlaad,mlaad_real_mlaad_spk_02_02,mlaad_spk_02,real,human,train,False
mlaad,mlaad_real_mlaad_spk_02_03,mlaad_spk_02,real,human,train,False
mlaad,mlaad_real_mlaad_spk_03_00,mlaad_spk_03,real,human,train,False
mlaad,mlaad_real_mlaad_spk_03_01,mlaad_spk_03,real,human,train,False
mlaad,mlaad_real_mlaad_spk_03_02,mlaad_spk_03,real,human,train,False
mlaad,mlaad_real_mlaad_spk_03_03,mlaad_spk_03,real,human,train,False
mlaad,mlaad_real_mlaad_spk_04_00,mlaad_spk_04,real,human,train,False
mlaad,mlaad_real_mlaad_spk_04_01,mlaad_spk_04,real,human,train,False
mlaad,mlaad_real_mlaad_spk_04_02,mlaad_spk_04,real,human,train,False
mlaad,mlaad_real_mlaad_spk_04_03,mlaad_spk_04,real,human,train,False
mlaad,mlaad_real_mlaad_spk_05_00,mlaad_spk_05,real,human,train,False
mlaad,mlaad_real_mlaad_spk_05_01,mlaad_spk_05,real,human,train,False
mlaad,mlaad_real_mlaad_spk_05_02,mlaad_spk_05,real,human,train,False
mlaad,mlaad_real_mlaad_spk_05_03,mlaad_spk_05,real,human,train,False
mlaad,mlaad_real_mlaad_spk_06_00,mlaad_spk_06,real,human,train,False
mlaad,mlaad_real_mlaad_spk_06_01,mlaad_spk_06,real,human,train,False
mlaad,mlaad_real_mlaad_spk_06_02,mlaad_spk_06,real,human,train,False
mlaad,mlaad_real_mlaad_spk_06_03,mlaad_spk_06,real,human,train,False
mlaad,mlaad_real_mlaad_spk_07_00,mlaad_spk_07,real,human,train,False
mlaad,mlaad_real_mlaad_spk_07_01,mlaad_spk_07,real,human,train,False
mlaad,mlaad_real_mlaad_spk_07_02,mlaad_spk_07,real,human,train,False
mlaad,mlaad_real_mlaad_spk_07_03,mlaad_spk_07,real,human,train,False
mlaad,mlaad_real_mlaad_spk_08_00,mlaad_spk_08,real,human,train,False
mlaad,mlaad_real_mlaad_spk_08_01,mlaad_spk_08,real,human,train,False
mlaad,mlaad_real_mlaad_spk_08_02,mlaad_spk_08,real,human,train,False
mlaad,mlaad_real_mlaad_spk_08_03,mlaad_spk_08,real,human,train,False
mlaad,mlaad_real_mlaad_spk_09_00,mlaad_spk_09,real,human,train,False
mlaad,mlaad_real_mlaad_spk_09_01,mlaad_spk_09,real,human,train,False
mlaad,mlaad_real_mlaad_spk_09_02,mlaad_spk_09,real,human,train,False
mlaad,mlaad_real_mlaad_spk_09_03,mlaad_spk_09,real,human,train,False
mlaad,mlaad_real_mlaad_spk_10_00,mlaad_spk_10,real,human,train,False
mlaad,mlaad_real_mlaad_spk_10_01,mlaad_spk_10,real,human,train,False
mlaad,mlaad_real_mlaad_spk_10_02,mlaad_spk_10,real,human,train,False
mlaad,mlaad_real_mlaad_spk_10_03,mlaad_spk_10,real,human,train,False
mlaad,mlaad_real_mlaad_spk_11_00,mlaad_spk_11,real,human,train,False
mlaad,mlaad_real_mlaad_spk_11_01,mlaad_spk_11,real,human,train,False
mlaad,mlaad_real_mlaad_spk_11_02,mlaad_spk_11,real,human,train,False
mlaad,mlaad_real_mlaad_spk_11_03,mlaad_spk_11,real,human,train,False
mlaad,mlaad_real_mlaad_spk_12_00,mlaad_spk_12,real,human,train,False
mlaad,mlaad_real_mlaad_spk_12_01,mlaad_spk_12,real,human,train,False
mlaad,mlaad_real_mlaad_spk_12_02,mlaad_spk_12,real,human,train,False
mlaad,mlaad_real_mlaad_spk_12_03,mlaad_spk_12,real,human,train,False
mlaad,mlaad_real_mlaad_spk_13_00,mlaad_spk_13,real,human,train,False
mlaad,mlaad_real_mlaad_spk_13_01,mlaad_spk_13,real,human,train,False
mlaad,mlaad_real_mlaad_spk_13_02,mlaad_spk_13,real,human,train,False
mlaad,mlaad_real_mlaad_spk_13_03,mlaad_spk_13,real,human,train,False
mlaad,mlaad_real_mlaad_spk_14_00,mlaad_spk_14,real,human,train,False
mlaad,mlaad_real_mlaad_spk_14_01,mlaad_spk_14,real,human,train,False
mlaad,mlaad_real_mlaad_spk_14_02,mlaad_spk_14,real,human,train,False
mlaad,mlaad_real_mlaad_spk_14_03,mlaad_spk_14,real,human,train,False
mlaad,mlaad_real_mlaad_spk_15_00,mlaad_spk_15,real,human,train,False
mlaad,mlaad_real_mlaad_spk_15_01,mlaad_spk_15,real,human,train,False
mlaad,mlaad_real_mlaad_spk_15_02,mlaad_spk_15,real,human,train,False
mlaad,mlaad_real_mlaad_spk_15_03,mlaad_spk_15,real,human,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_01_00,mlaad_spk_01,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_01_01,mlaad_spk_01,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_02_00,mlaad_spk_02,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_02_01,mlaad_spk_02,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_03_00,mlaad_spk_03,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_03_01,mlaad_spk_03,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_04_00,mlaad_spk_04,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_04_01,mlaad_spk_04,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_05_00,mlaad_spk_05,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_05_01,mlaad_spk_05,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_06_00,mlaad_spk_06,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_06_01,mlaad_spk_06,fake,bark_tts,train,False
mlaad,mlaad_fake_bark_tts_mlaad_spk_07_00,mlaad_spk_07,fake,bark_tts,train,False
